Filename,Leq_dBA
Around Arya School(1°16_32_ S 36°49_29_ E).wav,64.54484803497452
Around Baba Dogo Rd(1°14_51_S 36°52_26_E).wav,67.94923871190234
Around Junction Mall(1°17_57_S 36°45_49_E).wav,66.55179652528102
Around Langata Hospital (1°19_40_S 36°47_21_E).wav,68.4948339710523
Around MMU (1°23_ 04_ 36°46_ 15_ E).wav,64.68969126383945
BBS Eastleigh(1°16_47_S 36°50_48_E).wav,66.74867312581729
Bee Centre (1°17_01_S 36°54_02_E).wav,64.80657274360834
Close to Uhuru Park(1°17_15_S 36°48_55_ E).wav,65.02461277885499
Davis&Shirtliff Kangundo Rd(1°15_28_S36°55_14_E).wav,64.43238568113546
ICD Road(1°20_6_ S 36°51_38_E).wav,66.90046044261456
Imaara Mall (1° 19_ 41_S 36°52_49_E).wav,68.42471046746854
Jevanjee Moi Avenue (1° 16_ 51_ S 36°49_ 13_ E).wav,66.79841630305168
Jogoo Road(1°17_49_S 36°52_29_E).wav,67.8265459038999
Kangemi (1°15_ 52_S 36°44_ 40_E).wav,67.26103744542425
Karen C School (1°20_19_S 36°44_27_E).wav,63.60851287398491
Kawangware (1°17_09_ S 36°44_21_E).wav,66.23340986298456
KCB Utawala Eastern Bypass(1°17_04_S 36°57_25_E).wav,67.38566290675251
KFC Embakasi (1°19_05_S 36°55_02_E).wav,70.11552768593718
Kiambu Road (1°12_28_ S 36°49_56_E).wav,67.0582295056909
Kiambu Road (1°13_45_S 36°50_26_E).wav,66.28191149015103
Kinoo (1° 15_ 23_ S 36° 41_ 49_).wav,67.30753538586558
Langata Link 1°19_19_S  36°47_01_E.wav,64.54534246213785
Likoni Rd (1°17_55_S 36°50_14_E).wav,66.82847178899914
Makongeni ShoppingCtr Ruai(1°16_38_S 37°01_43_E).wav,66.92812939525275
Ngong Road (1° 18_ 22_S 36° 44_ 24_E).wav,69.81651314513178
Northern Bypass (1°11_50_ S 36°53_57_E).wav,67.3214737742627
Northern Bypass(1°09_38_S 36°55_19_E).wav,67.18374392317034
Nyayo LA Rd (1°18_20_ S 36°49_21_E).wav,67.35858417012994
Ola Energy Waiyaki Way(1° 15_ 33_S 36°46_ 47_E).wav,69.24841789780436
Opp. KU Hospital (1°10_34_ S 36°54_47_E).wav,65.69296656291515
Quality Meat Packers(1°15_10_S 36°57_34_E).wav,65.5368750826197
RailaOdinga Rd nxt toTotal (1°18_48_S36°48_45_E).wav,69.29907287220138
Ruaka (1°12_01_ S 36°47_05_E).wav,65.9968492142221
Runda (1°12_59_S 36°49_34_E).wav,66.48806861645129
Southern Bypass (1° 18_ 14_ S 36° 42_ 30_E).wav,68.10710332309606
Southern Bypass (1°17_45_ S 36°41_27_E).wav,68.13223859085005
Thika Road (1°10_58_S 36°56_13_E).wav,70.74122029294747
Thika Road (1°13_28_S 36°53_12_E).wav,71.0692499262913
Thika Road Pangani(1°15_55_S 36°50_08_E).wav,66.6284414979167
Thome(1°12_36_S 36°52_35_E).wav,66.82625210241656
Total Energies Outering (1°16_10_ S 36°52_49_E).wav,67.28811575189087
Winners Chapel(Likoni Rd) (1°19_20_S 36°50_55_E).wav,66.4256076570347
